title,company,country,salary_avg,is_remote,skills_mentioned,skill
Senior Business Analyst (m/w/d) im Bereich Business Intelligence / Controlling,Sievert SE,Germany,,0,"sql, power bi, snowflake",POWER BI
Senior Business Analyst (m/w/d) im Bereich Business Intelligence / Controlling,Sievert SE,Germany,,0,"sql, power bi, snowflake",SNOWFLAKE
IT Consultant - CRM Loyalty Backend / Datamanagement (m/w/d),Schwarz Digits,Germany,,0,azure,AZURE
Business Analyst,About,Germany,,0,excel,EXCEL
Business Analyst/ Functional Consultant,CLARITY,Germany,,0,excel,EXCEL
IT Business Analyst*in für Depotverwaltungsprozesse,Union Investment,Germany,75000.0,0,sql,SQL
Business Analyst (m/w/d),FERCHAU Austria GmbH,Germany,,0,r,R
Business Intelligence-Entwickler / Data Analyst (m/w/d),VIEROL AG,Germany,,0,sql,SQL
Business Intelligence-Entwickler / Data Analyst (m/w/d),Vierol Ag,Germany,,0,sql,SQL
BI Analyst - Data Analytics / Business Intelligence (w/m/d) - Wedemark,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",R
BI Analyst - Data Analytics / Business Intelligence (w/m/d) - Wedemark,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",SQL
BI Analyst - Data Analytics / Business Intelligence (w/m/d) - Wedemark,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",PYTHON
BI Analyst - Data Analytics / Business Intelligence (w/m/d) - Wedemark,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",POWER BI
BI Analyst - Data Analytics / Business Intelligence (w/m/d) - Burgdorf,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",R
BI Analyst - Data Analytics / Business Intelligence (w/m/d) - Burgdorf,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",SQL
BI Analyst - Data Analytics / Business Intelligence (w/m/d) - Burgdorf,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",PYTHON
BI Analyst - Data Analytics / Business Intelligence (w/m/d) - Burgdorf,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",POWER BI
BI Analyst - Data Analytics / Business Intelligence (w/m/d) - Celle,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",R
BI Analyst - Data Analytics / Business Intelligence (w/m/d) - Celle,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",SQL
BI Analyst - Data Analytics / Business Intelligence (w/m/d) - Celle,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",PYTHON
BI Analyst - Data Analytics / Business Intelligence (w/m/d) - Celle,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",POWER BI
Data Analist (Finance),Stadler Rail,Netherlands,,0,power bi,POWER BI
Senior Data Analyst,Walker & Dunlop,Netherlands,,0,r,R
Senior Data & Reporting Analyst,Alfen,Netherlands,,0,power bi,POWER BI
Data Analyst (Dutch Speaking),Fitura,Netherlands,,0,"power bi, azure, databricks",POWER BI
Data Analyst (Dutch Speaking),Fitura,Netherlands,,0,"power bi, azure, databricks",AZURE
Data Analyst (Dutch Speaking),Fitura,Netherlands,,0,"power bi, azure, databricks",DATABRICKS
Senior Product Data Analyst,RELX INC,Netherlands,,0,excel,EXCEL
Senior Data Analyst - Merchandising Systems,,Netherlands,480.0,0,"excel, tableau",EXCEL
Senior Data Analyst - Merchandising Systems,,Netherlands,480.0,0,"excel, tableau",TABLEAU
Data engineer,Stedin,Netherlands,,0,"azure, databricks",AZURE
Data engineer,Stedin,Netherlands,,0,"azure, databricks",DATABRICKS
Marketing Data Analyst (B2B Growth & Data) | FMCG | Regio Utrecht | tot €60K,,Netherlands,60000.0,0,power bi,POWER BI
"Senior Data Scientist / Data Analyst (Python, Tableau/Power BI)",ITproposal B.V.,Netherlands,,0,"python, power bi, tableau",PYTHON
"Senior Data Scientist / Data Analyst (Python, Tableau/Power BI)",ITproposal B.V.,Netherlands,,0,"python, power bi, tableau",POWER BI
"Senior Data Scientist / Data Analyst (Python, Tableau/Power BI)",ITproposal B.V.,Netherlands,,0,"python, power bi, tableau",TABLEAU
Data Engineer,OfferZen,Netherlands,,0,"sql, spark",SQL
Data Engineer,OfferZen,Netherlands,,0,"sql, spark",SPARK
Data Engineer,OfferZen,Netherlands,,0,"sql, spark",SQL
Data Engineer,OfferZen,Netherlands,,0,"sql, spark",SPARK
Data Engineer,OfferZen,Netherlands,,0,"sql, spark",SQL
Data Engineer,OfferZen,Netherlands,,0,"sql, spark",SPARK
Data Engineer,OfferZen,Netherlands,,0,"sql, spark",SQL
Data Engineer,OfferZen,Netherlands,,0,"sql, spark",SPARK
Data Engineer,OfferZen,Netherlands,,0,"sql, spark",SQL
Data Engineer,OfferZen,Netherlands,,0,"sql, spark",SPARK
Data Engineer,OfferZen,Netherlands,,0,"sql, spark",SQL
Data Engineer,OfferZen,Netherlands,,0,"sql, spark",SPARK
Business Analist,Duijndam Works,Netherlands,,0,power bi,POWER BI
Business Analist,Nedvang,Netherlands,,0,power bi,POWER BI
Business Analyst,Event Hotels,Netherlands,,0,excel,EXCEL
Business Analist Assetmanagement,Bright Professionals,Netherlands,,0,r,R
Business Analyst – Mortgage Domain,ITproposal B.V.,Netherlands,,0,sql,SQL
Business Analist - Power BI,Evoke B.V.,Netherlands,59400.0,0,power bi,POWER BI
RiskShield Business Analyst – Banking,CGI Nederland,Netherlands,,0,excel,EXCEL
Murex Risk / XVA Business Analyst / Configurator,Varrlyn,Netherlands,,0,excel,EXCEL
Business Performance Analyst,BYD Europe,Netherlands,,0,excel,EXCEL
Business Intelligence Analist,Processionals,Netherlands,36750.0,0,power bi,POWER BI
Commercial Insights Analyst (CRM & Power BI) Amsterdam - €52k,,Netherlands,50000.0,0,power bi,POWER BI
Field Sales Analyst | (CRM & Power BI) Amsterdam - €52K,,Netherlands,55000.0,0,power bi,POWER BI
Senior data engineer / tech lead,ANWB,Netherlands,,0,snowflake,SNOWFLAKE
Data Engineer — AI & Gen AI Platforms (Azure / AWS),ITproposal B.V.,Netherlands,,0,"aws, azure",AWS
Data Engineer — AI & Gen AI Platforms (Azure / AWS),ITproposal B.V.,Netherlands,,0,"aws, azure",AZURE
Analytics Engineer,Basic-Fit,Netherlands,,0,power bi,POWER BI
Data Analyst,KLETA,France,,0,tableau,TABLEAU
Alternance - Data Analyst (H/F) Alternance / Apprentissage H/F,NEXA Nantes,France,,0,tableau,TABLEAU
Data Analyst,Next-Link,France,,1,"sql, python, excel",SQL
Data Analyst,Next-Link,France,,1,"sql, python, excel",PYTHON
Data Analyst,Next-Link,France,,1,"sql, python, excel",EXCEL
Data Analyst,PIXIE SERVICES FRANCE,France,,0,"sql, python, power bi, tableau, aws, azure, looker",SQL
Data Analyst,PIXIE SERVICES FRANCE,France,,0,"sql, python, power bi, tableau, aws, azure, looker",PYTHON
Data Analyst,PIXIE SERVICES FRANCE,France,,0,"sql, python, power bi, tableau, aws, azure, looker",POWER BI
Data Analyst,PIXIE SERVICES FRANCE,France,,0,"sql, python, power bi, tableau, aws, azure, looker",TABLEAU
Data Analyst,PIXIE SERVICES FRANCE,France,,0,"sql, python, power bi, tableau, aws, azure, looker",AWS
